,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000246XA_Sa_0.2g,0.5767604743595651,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000246XA_Sa_0.3g,0.8651407115393477,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000246XA_Sa_0.4g,1.1535209487191302,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000246XA_Sa_0.5g,1.4419011858989128,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000246XA_Sa_0.6g,1.7302814230786954,5.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000246XA_Sa_0.7g,2.018661660258478,6.867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000246XA_Sa_0.8g,2.3070418974382605,7.848000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
000246XA_Sa_0.9g,2.595422134618043,8.829,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2
000246XA_Sa_1.0g,2.8838023717978256,9.81,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2
000246XA_Sa_1.1g,3.172182608977608,10.791000000000002,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2
000246XA_Sa_1.2g,3.4605628461573907,11.772,3.0,2.0,0.0,2.0,1.0,3.0,0.0,0.0,2
000246XA_Sa_1.3g,3.7489430833371733,12.753000000000002,3.0,3.0,2.0,2.0,0.0,3.0,0.0,0.0,2
000246XA_Sa_1.4g,4.037323320516956,13.734,3.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,2
000246XA_Sa_1.5g,4.325703557696738,14.715,3.0,3.0,2.0,2.0,0.0,4.0,0.0,0.0,3
000290XA_Sa_0.1g,0.32737864901341784,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000290XA_Sa_0.2g,0.6547572980268357,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000290XA_Sa_0.3g,0.9821359470402534,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000290XA_Sa_0.4g,1.3095145960536714,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000290XA_Sa_0.5g,1.636893245067089,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000290XA_Sa_0.6g,1.9642718940805068,5.886,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
000290XA_Sa_0.7g,2.2916505430939247,6.867,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2
000290XA_Sa_0.8g,2.6190291921073428,7.848000000000001,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3
000290XA_Sa_0.9g,2.9464078411207604,8.829,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4
000290XA_Sa_1.0g,3.273786490134178,9.81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000290XA_Sa_1.1g,3.6011651391475965,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000290XA_Sa_1.2g,3.9285437881610137,11.772,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000290XA_Sa_1.3g,4.255922437174432,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000290XA_Sa_1.4g,4.583301086187849,13.734,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000290XA_Sa_1.5g,4.910679735201267,14.715,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000333XA_Sa_0.1g,0.46882326121058726,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000333XA_Sa_0.2g,0.9376465224211745,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
000333XA_Sa_0.3g,1.4064697836317617,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000333XA_Sa_0.4g,1.875293044842349,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
000333XA_Sa_0.5g,2.344116306052936,4.905,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2
000333XA_Sa_0.6g,2.8129395672635233,5.886,2.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,3
000333XA_Sa_0.7g,3.2817628284741103,6.867,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000333XA_Sa_0.8g,3.750586089684698,7.848000000000001,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000333XA_Sa_0.9g,4.219409350895285,8.829,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
000333XA_Sa_1.0g,4.688232612105872,9.81,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000333XA_Sa_1.1g,5.15705587331646,10.791000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000333XA_Sa_1.2g,5.625879134527047,11.772,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
000333XA_Sa_1.3g,6.094702395737634,12.753000000000002,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
