,PGA [m/s2],Sa [m/s2],East - local,West - local,North - local,South - local,East - macro,West - macro,North - macro,South - macro,Global
000990XA_Sa_0.8g,6.525432195177813,7.848000000000001,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
000990XA_Sa_0.9g,7.341111219575039,8.829,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2
000990XA_Sa_1.0g,8.156790243972265,9.81,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2
000990XA_Sa_1.1g,8.972469268369492,10.791000000000002,0.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,2
000990XA_Sa_1.2g,9.788148292766717,11.772,2.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,3
000990XA_Sa_1.3g,10.603827317163946,12.753000000000002,2.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,3
000990XA_Sa_1.4g,11.41950634156117,13.734,2.0,0.0,2.0,4.0,0.0,2.0,0.0,0.0,4
000990XA_Sa_1.5g,12.235185365958397,14.715,3.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,4
001313XA_Sa_0.1g,0.6944961594612898,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
001313XA_Sa_0.2g,1.3889923189225797,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
001313XA_Sa_0.3g,2.0834884783838694,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
001313XA_Sa_0.4g,2.7779846378451594,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
001313XA_Sa_0.5g,3.4724807973064493,4.905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001313XA_Sa_0.6g,4.166976956767739,5.886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001313XA_Sa_0.7g,4.861473116229029,6.867,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3
001313XA_Sa_0.8g,5.555969275690319,7.848000000000001,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,3
001313XA_Sa_0.9g,6.250465435151608,8.829,3.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,3
001313XA_Sa_1.0g,6.944961594612899,9.81,4.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,3
001313XA_Sa_1.1g,7.639457754074189,10.791000000000002,4.0,4.0,0.0,2.0,1.0,4.0,0.0,0.0,2
001313XA_Sa_1.2g,8.333953913535478,11.772,4.0,4.0,2.0,2.0,3.0,4.0,0.0,0.0,2
001313XA_Sa_1.3g,9.028450072996769,12.753000000000002,4.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,3
001313XA_Sa_1.4g,9.722946232458058,13.734,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,3
001313XA_Sa_1.5g,10.417442391919348,14.715,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4
001715XA_Sa_0.1g,0.48243046932974737,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
001715XA_Sa_0.2g,0.9648609386594947,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
001715XA_Sa_0.3g,1.4472914079892418,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
001715XA_Sa_0.4g,1.9297218773189895,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
001715XA_Sa_0.5g,2.4121523466487367,4.905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2
001715XA_Sa_0.6g,2.8945828159784837,5.886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001715XA_Sa_0.7g,3.377013285308231,6.867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001715XA_Sa_0.8g,3.859443754637979,7.848000000000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001715XA_Sa_0.9g,4.341874223967726,8.829,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001715XA_Sa_1.0g,4.824304693297473,9.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001715XA_Sa_1.1g,5.306735162627221,10.791000000000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
001715XA_Sa_1.2g,5.789165631956967,11.772,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3
001715XA_Sa_1.3g,6.271596101286715,12.753000000000002,2.0,3.0,0.0,1.0,3.0,3.0,0.0,0.0,2
001715XA_Sa_1.4g,6.754026570616462,13.734,4.0,4.0,3.0,2.0,3.0,4.0,0.0,0.0,2
001715XA_Sa_1.5g,7.23645703994621,14.715,4.0,4.0,4.0,2.0,3.0,4.0,0.0,0.0,3
002015XA_Sa_0.1g,0.9643300370813235,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
002015XA_Sa_0.2g,1.928660074162647,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
002015XA_Sa_0.3g,2.8929901112439698,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
002015XA_Sa_0.4g,3.857320148325294,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
002015XA_Sa_0.5g,4.821650185406617,4.905,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3
002015XA_Sa_0.6g,5.7859802224879395,5.886,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4
002015XA_Sa_0.7g,6.750310259569263,6.867,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4
002015XA_Sa_0.8g,7.714640296650588,7.848000000000001,2.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,4
002015XA_Sa_0.9g,8.67897033373191,8.829,3.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,4
002015XA_Sa_1.0g,9.643300370813234,9.81,4.0,3.0,0.0,3.0,4.0,3.0,0.0,0.0,4
002015XA_Sa_1.1g,10.607630407894558,10.791000000000002,4.0,3.0,0.0,3.0,4.0,4.0,0.0,0.0,4
002015XA_Sa_1.2g,11.571960444975879,11.772,4.0,4.0,2.0,4.0,4.0,4.0,0.0,3.0,4
002015XA_Sa_1.3g,12.536290482057204,12.753000000000002,4.0,4.0,3.0,4.0,4.0,4.0,0.0,4.0,4
002015XA_Sa_1.4g,13.500620519138526,13.734,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4
002015XA_Sa_1.5g,14.464950556219849,14.715,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4
003802XA_Sa_0.1g,1.1746162071486514,0.9810000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
003802XA_Sa_0.2g,2.349232414297303,1.9620000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
003802XA_Sa_0.3g,3.5238486214459535,2.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
003802XA_Sa_0.4g,4.698464828594606,3.9240000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
003802XA_Sa_0.5g,5.873081035743256,4.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
003802XA_Sa_0.6g,7.047697242891907,5.886,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2
003802XA_Sa_0.7g,8.22231345004056,6.867,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3
003802XA_Sa_0.8g,9.396929657189212,7.848000000000001,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3
003802XA_Sa_0.9g,10.571545864337862,8.829,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3
003802XA_Sa_1.0g,11.746162071486513,9.81,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,4
003802XA_Sa_1.1g,12.920778278635165,10.791000000000002,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,4
003802XA_Sa_1.2g,14.095394485783814,11.772,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4
